id,date,team1,team2,toss_winner,decision,first_score,first_wkts,second_score,second_wkts,winner,winning_margin,player_of_the_match,most_runs,most_wkts
38,"April 22,2024",Mumbai Indians,Rajasthan Royals,MI,Bat,179,9,183,1,Rajasthan Royals,9 WICKETS,Sandeep Sharma,Yashasvi Jaiswal ,Sandeep Sharma
39,"April 23,2024",Chennai Super Kings,Lucknow Super Giants,LSG,Field,210,4,213,4,Lucknow Super Giants,6 WICKETS,Marcus Stoinis,Marcus Stoinis,Matheesha Pathirana
40,"April 24,2024",Delhi Capitals,Gujarat Titans,GT,Field,224,4,220,8,Delhi Capitals,4 RUNS,Rishabh Pant,Rishabh Pant,Sandeep Warrier
41,"April 25,2024",Royal Challengers Bengaluru,Sunrisers Hyderabad,RCB,Bat,206,7,171,8,Royal Challengers Bengaluru,35 RUNS,Rajat Patidar,Virat Kohli,Jaydev Unadkat
42,"April 26,2024",Kolkata Knight Riders,Punjab Kings,PBKS,Field,261,6,262,2,Punjab Kings,8 WICKETS,Jonny Bairstow,Jonny Bairstow,Arshdeep Singh
43,"April 27,2024",Delhi Capitals,Mumbai Indians,MI,Field,257,4,247,9,Delhi Capitals,10 RUNS,Jake Fraser-McGurk,Jake Fraser-McGurk,Rasikh Salam
44,"April 27,2024",Lucknow Super Giants,Rajasthan Royals,RR,Field,196,5,199,3,Rajasthan Royals,7 WICKETS,Sanju Samson,KL Rahul,Sandeep Sharma
45,"April 28,2024",Gujarat Titans,Royal Challengers Bengaluru,RCB,Field,200,3,206,1,Royal Challengers Bengaluru,9 WICKETS,Will Jacks,Will Jacks,Swapnil Singh
46,"April 28,2024",Chennai Super Kings,Sunrisers Hyderabad,SRH,Field,212,3,134,10,Chennai Super Kings,78 RUNS,Ruturaj Gaikwad,Ruturaj Gaikwad,Tushar Deshpande
47,"April 29,2024",Delhi Capitals,Kolkata Knight Riders,DC,Bat,153,9,157,3,Kolkata Knight Riders,7 WICKETS,Varun Chakravarthy,Phil Salt,Varun Chakravarthy
48,"April 30,2024",Mumbai Indians,Lucknow Super Giants,LSG,Field,144,7,145,6,Lucknow Super Giants,4 WICKETS,Marcus Stoinis,Marcus Stoinis,Hardik Pandya
49,"May 1,2024",Chennai Super Kings,Punjab Kings,PBKS,Field,162,7,163,3,Punjab Kings,7 WICKETS,Harpreet Brar,Ruturaj Gaikwad,Rahul Chahar
50,"May 2,2024",Sunrisers Hyderabad,Rajasthan Royals,SRH,Bat,201,3,200,7,Sunrisers Hyderabad,1 RUN,Bhuvneshwar Kumar,Riyan Parag ,Bhuvneshwar Kumar
51,"May 3,2024",Kolkata Knight Riders,Mumbai Indians,MI,Field,169,10,145,10,Kolkata Knight Riders,24 RUNS,Venkatesh Iyer,Venkatesh Iyer,Mitchell Starc
52,"May 4,2024",Gujarat Titans,Royal Challengers Bengaluru,RCB,Field,147,10,152,6,Royal Challengers Bengaluru,4 WICKETS,Mohammed Siraj,Faf du Plessis,Josh Little
53,"May 5,2024",Chennai Super Kings,Punjab Kings,PBKS,Field,167,9,139,9,Chennai Super Kings,28 RUNS,Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja
54,"May 5,2024",Kolkata Knight Riders,Lucknow Super Giants,LSG,Field,235,6,137,10,Kolkata Knight Riders,98 RUNS,Sunil Narine,Sunil Narine,Harshit Rana
55,"May 6,2024",Sunrisers Hyderabad,Mumbai Indians,MI,Field,173,8,174,3,Mumbai Indians,7 WICKETS,Suryakumar Yadav,Suryakumar Yadav,Hardik Pandya
56,"May 7,2024",Delhi Capitals,Rajasthan Royals,RR,Field,221,8,201,8,Delhi Capitals,20 RUNS,Kuldeep Yadav,Sanju Samson,Ravichandran Ashwin
57,"May 8,2024",Lucknow Super Giants,Sunrisers Hyderabad,LSG,Bat,165,4,167,0,Sunrisers Hyderabad,10 WICKETS,Travis Head,Travis Head,Bhuvneshwar Kumar
58,"May 9,2024",Royal Challengers Bengaluru,Punjab Kings,PBKS,Field,241,7,181,10,Royal Challengers Bengaluru,60 RUNS,Virat Kohli,Virat Kohli,Harshal Patel
59,"May 10,2024",Gujarat Titans,Chennai Super Kings,CSK,Field,231,3,196,8,Gujarat Titans,35 RUNS,Shubman Gill,Shubman Gill,Mohit Sharma
